Volt,VoltR,VoltS,VoltT,Curr,CurrR,CurrS,CurrT,Temp,Humid,Ground,ActivePower,ActiveConsum,ReactiveConsum,MotorStatus,MCCounter
386,384,384,386,0.01,0.01,0.01,0.01,41.2,38,0,0,0,0,1,3213
386,384,384,386,0.01,0.01,0.01,0.01,41.2,38,0,0,0,0,1,3213
386,384,384,386,0.01,0.01,0.01,0.01,41.2,38,0,0,0,0,1,3213
386,384,384,386,6.16,6.16,5.92,3.38,41.2,38,0,17.2,0,0,1,3213
386,384,384,386,99.94,95.52,99.94,90.38,41.2,38,0,17.2,0,0,1,3213
386,384,384,386,189.89,187.37,189.89,185.21,41.2,38,0,17.2,0,0,1,3213
386,384,385,386,171.03,169.4,170.89,171.03,41.2,38,0,17.2,0,0,1,3213
386,384,384,386,23.79,23.79,23.38,23.19,41.2,38,0,17.19,0,0,1,3213
386,384,385,386,20.16,19.31,20.16,19.79,41.3,38,0,17.17,0,0,1,3213
386,384,385,386,19.42,18.71,19.42,18.99,41.3,38,0,17.15,0,0,1,3213
385,384,385,385,19.42,18.71,19.42,18.99,41.3,38,0,17.15,0,0,1,3213
385,384,385,385,19.1,18.3,19.1,18.64,41.3,38,0,17.15,0,0,1,3213
385,384,385,385,19.31,18.58,19.31,18.89,41.3,38,0,17.14,0,0,1,3213
385,384,385,385,19.12,18.43,19.12,18.7,41.3,38,0,17.14,0,0,1,3213
385,384,384,385,19.3,18.67,19.3,18.93,41.3,38,0,17.13,0,0,1,3213
385,385,385,385,19.36,18.67,19.36,18.93,41.3,38,0,17.13,0,0,1,3213
385,385,385,385,19.44,18.72,19.44,19.05,41.3,38,0,17.13,0,0,1,3213
385,385,385,385,19.62,18.9,19.62,19.18,41.3,38,0,17.11,0,0,1,3213
385,385,385,385,19.62,18.9,19.62,19.18,41.5,38,0,17.1,0,0,1,3213
385,385,384,385,19.55,18.73,19.55,19.09,41.5,38,0,17.09,0,0,1,3213
385,385,384,385,19.03,18.2,19.03,18.57,41.5,38,0,17.09,0,0,1,3213
385,385,384,385,19.61,18.86,19.61,19.16,41.5,38,0,17.09,0,0,1,3213
386,386,384,386,19.65,18.79,19.65,19.12,41.5,38,0,17.09,0,0,1,3213
386,386,384,386,19.8,19.03,19.8,19.3,41.5,38,0,17.08,0,0,1,3213
385,386,384,385,19.8,19.03,19.8,19.3,41.5,38,0,17.08,0,0,1,3213
386,385,384,386,19.56,18.72,19.56,19.03,41.5,38,0,17.07,0,0,1,3213
386,385,384,386,19.56,18.72,19.56,19.03,41.5,38,0,17.07,0,0,1,3213
386,385,384,386,19.74,18.99,19.74,19.23,41.5,38,0,17.06,0,0,1,3213
386,385,384,386,19.51,18.58,19.51,18.94,41.6,38,0,17.05,0,0,1,3213
386,385,384,386,19.71,18.85,19.71,19.16,41.6,38,0,17.05,0,0,1,3213
386,385,384,386,19.78,18.9,19.78,19.21,41.6,38,0,17.04,0,0,1,3213
386,385,384,386,19.78,18.9,19.78,19.21,41.6,38,0,17.03,0,0,1,3213
386,385,384,386,20.07,19.28,20.07,19.56,41.6,38,0,17.03,0,0,1,3213
386,385,384,386,20.07,19.28,20.07,19.56,41.6,38,0,17.02,0,0,1,3213
386,384,384,386,19.74,18.91,19.74,19.13,41.6,38,0,17.02,0,0,1,3213
386,384,384,386,19.96,19.21,19.96,19.42,41.6,38,0,17.01,0,0,1,3213
386,384,384,386,19.96,19.21,19.96,19.42,41.6,38,0,17,0,0,1,3213
386,384,384,386,19.78,19,19.78,19.25,41.6,38,0,17,0,0,1,3213
386,384,384,386,20.08,19.35,20.08,19.6,41.5,38,0,17,0,0,1,3213
386,384,384,386,20.08,19.35,20.08,19.6,41.5,38,0,16.98,0,0,1,3213
386,384,384,386,19.84,19.04,19.84,19.38,41.5,38,0,16.97,0,0,1,3213
386,384,384,386,20.32,19.57,20.32,19.86,41.5,38,0,16.96,0,0,1,3213
386,384,384,386,20.32,19.57,20.32,19.86,41.5,38,0,16.96,0,0,1,3213
386,384,384,386,19.86,19.05,19.86,19.39,41.5,38,0,16.96,0,0,1,3213
385,384,385,385,20.1,19.33,20.1,19.65,41.5,38,0,16.96,0,0,1,3213
386,384,385,386,19.61,18.78,19.61,19.15,41.5,38,0,16.95,0,0,1,3213
385,384,385,385,19.82,19.04,19.82,19.36,41.5,38,0,16.95,0,0,1,3213
385,385,385,385,20.01,19.2,20.01,19.57,41.5,38,0,16.94,0,0,1,3213
385,384,385,385,20.01,19.2,20.01,19.57,41.6,38,0,16.93,0,0,1,3213
385,385,385,385,19.94,19.15,19.94,19.48,41.6,38,0,16.93,0,0,1,3213
385,385,385,385,20.2,19.44,20.2,19.84,41.6,38,0,16.93,0,0,1,3213
385,385,384,385,20.23,19.43,20.23,19.81,41.6,38,0,16.93,0,0,1,3213
385,385,384,385,20.23,19.43,20.23,19.81,41.6,38,0,16.92,0,0,1,3213
385,385,384,385,20.28,19.45,20.28,19.79,41.6,38,0,16.92,0,0,1,3213
385,385,384,385,20.24,19.49,20.24,19.79,41.6,38,0,16.91,0,0,1,3213
385,385,384,385,20.24,19.49,20.24,19.79,41.6,38,0,16.9,0,0,1,3213
385,385,384,385,20.37,19.54,20.37,19.86,41.6,38,0,16.89,0,0,1,3213
385,385,384,385,20.44,19.69,20.44,19.97,41.8,38,0,16.89,0,0,1,3213
385,385,384,385,20.44,19.69,20.44,19.97,41.8,38,0,16.89,0,0,1,3213
